url,name,university,university_url,modality,price,location,credits,years
https://www.gradomania.com/grado-en-ingenieria-informatica-en-ingenieria-del-software-caceres-93001_q08.html,Título Oficial de Grado en Ingeniería Informática en Ingeniería del Software.,Escuela Politécnica - Universidad de Extremadura,https://www.gradomania.com/escuela-politecnica-universidad-de-extremadura-2252_q04.html,Presencial,Información no disponible,,240,4.0
https://www.gradomania.com/grado-en-ingenieria-informatica-valladolid-93507_q08.html,Título Oficial de Grado en Ingeniería Informática.,Escuela Técnica Superior de Ingeniería Informática - Universidad de Valladolid,https://www.gradomania.com/escuela-tecnica-superior-de-ingenieria-informatica-universidad-de-valladolid-2440_q04.html,Presencial,Información no disponible,,240,4.0
https://www.gradomania.com/grado-en-ingenieria-informatica-ciudad-real-84633_q08.html,Título Oficial de Grado en Ingeniería Informática.,Escuela Superior de Informática (Ciudad Real) - Universidad de Castilla La Mancha,https://www.gradomania.com/escuela-superior-de-informatica-ciudad-real-universidad-de-castilla-la-mancha-2203_q04.html,Presencial,Información no disponible,,240,4.0
https://www.gradomania.com/doble-grado-en-ingenieria-informatica-administracion-y-direccion-de-empresas-madrid-80552_q08.html,,E.T.S. de Ingeniería Informática (Móstoles) - Universidad Rey Juan Carlos,https://www.gradomania.com/ets-de-ingenieria-informatica-mostoles-universidad-rey-juan-carlos-1705_q04.html,Presencial,Información no disponible,,360,6.0
https://www.gradomania.com/grado-en-ingenieria-informatica-en-tecnologias-de-la-informacion-alicante-alacant-198860_q08.html,Título Oficial de Grado en Ingeniería Informática en Tecnologías de la Información.,Escuela Politécnica Superior de Elche - Universidad Miguel Hernández de Elche,https://www.gradomania.com/escuela-politecnica-superior-de-elche-universidad-miguel-hernandez-de-elche-2515_q04.html,Presencial,Información no disponible,,240,4.0
https://www.gradomania.com/grado-en-ingenieria-informatica-malaga-84658_q08.html,Título Oficial de Grado en Ingeniería Informática.,E.T.S.I. Informática - Universidad de Málaga,https://www.gradomania.com/etsi-informatica-universidad-de-malaga-2347_q04.html,Presencial,Información no disponible,,240,4.0
https://www.gradomania.com/doble-grado-en-ingenieria-informatica-administracion-y-direccion-de-empresas-madrid-92783_q08.html,,Facultad de Ciencias Jurídicas y Sociales (Vicálvaro) - Universidad Rey Juan Carlos,https://www.gradomania.com/facultad-de-ciencias-juridicas-y-sociales-vicalvaro-universidad-rey-juan-carlos-2832_q04.html,Presencial,Información no disponible,,360,6.0
https://www.gradomania.com/doble-titulacion-ingenieria-informatica-y-administracion-y-direccion-de-empresas-lleida-199765_q08.html,Título Oficial de Doble Grado: Ingeniería Informática y Administración y Dirección de Empresas,"Facultad de Derecho, Economía y Turismo - Universitat de Lleida",https://www.gradomania.com/facultad-de-derecho-economia-y-turismo-universitat-de-lleida-1680_q04.html,Presencial,Información no disponible,,372,6.2
https://www.gradomania.com/grado-en-ingenieria-informatica-almeria-84850_q08.html,Título Oficial de Grado en Ingeniería Informática.,Escuela Técnica Superior de Ingeniería - Universidad de Almería,https://www.gradomania.com/escuela-tecnica-superior-de-ingenieria-universidad-de-almeria-2142_q04.html,Presencial,Información no disponible,,240,4.0
https://www.gradomania.com/grado-en-ingenieria-informatica-online-267263_q08.html,Grado en Ingeniería Informática,Escuela Universitaria Politécnica - Universidad Católica San Antonio de Murcia - UCAM,https://www.gradomania.com/escuela-universitaria-politecnica-universidad-catolica-san-antonio-de-murcia-ucam-5232_q04.html,Online,4200 €/curso,,240,4.0
https://www.gradomania.com/doble-grado-ingenieria-informatica-matematicas-madrid-80553_q08.html,,E.T.S. de Ingeniería Informática (Móstoles) - Universidad Rey Juan Carlos,https://www.gradomania.com/ets-de-ingenieria-informatica-mostoles-universidad-rey-juan-carlos-1705_q04.html,Presencial,Información no disponible,,309,5.15
https://www.gradomania.com/doble-titulacion-ingenieria-informatica-y-administracion-y-direccion-de-empresas-lleida-223680_q08.html,Título Oficial de Doble Grado: Ingeniería Informática y Administración y Dirección de Empresas,Escuela Politécnica Superior - Universitat de Lleida,https://www.gradomania.com/escuela-politecnica-superior-universitat-de-lleida-1683_q04.html,Presencial,Información no disponible,,372,6.2
